,0
0,12652
1,12910
2,12290
3,11633
4,10556
5,8932
6,7089
7,6523
8,3608
9,2429
10,1948
11,1748
12,1704
13,1708
14,1875
15,1770
16,1714
17,2234
18,3008
19,3230
20,4195
21,4783
22,5794
23,6300
24,6870
25,7100
26,7596
27,6953
28,7305
29,6994
30,7565
31,7182
32,6841
33,7064
34,7213
35,7078
36,7107
37,6581
38,5952
39,5182
40,5383
41,4744
42,5507
43,4729
44,4217
45,3454
46,2994
47,2157
48,1498
49,1097
50,775
51,641
52,511
53,378
54,475
55,583
56,564
57,744
58,1474
59,2003
60,3035
61,3604
62,4748
63,5219
64,5787
65,6057
66,6096
67,6263
68,6583
69,6669
70,7135
71,7510
72,7985
73,7675
74,8134
75,8114
76,8527
77,8584
78,8704
79,8367
80,7960
81,8448
82,8891
83,9056
84,9027
85,8376
86,7147
87,6735
88,6681
89,6643
90,6983
91,6240
92,5275
93,4356
94,3913
95,3123
96,2403
97,1903
98,1548
99,1149
100,881
101,875
102,696
103,771
104,732
105,724
106,1455
107,1987
108,3282
109,3912
110,5088
111,5690
112,6935
113,7087
114,7019
115,6804
116,6795
117,6504
118,7278
119,7577
120,7466
121,7443
122,8083
123,8216
124,8642
125,8164
126,8457
127,8321
128,8020
129,8985
130,9288
131,9452
132,9665
133,9652
134,9499
135,8229
136,7306
137,7916
138,9570
139,8551
140,8514
141,7266
142,6258
143,5655
144,5049
145,4568
146,4087
147,3376
148,2893
149,2518
150,2014
151,1574
152,916
153,802
154,1007
155,998
156,1459
157,1627
158,2385
159,2518
160,3613
161,4306
162,5530
163,5710
164,6623
165,6915
166,7591
167,7480
168,8169
169,8560
170,8164
171,7738
172,8000
173,8242
174,8920
175,8962
176,8587
177,8844
178,9392
179,8921
180,9468
181,9854
182,9168
183,8687
184,8334
185,9557
186,10555
187,9745
188,9048
189,8493
190,9189
191,7158
192,6533
193,5984
194,5149
195,5040
196,3991
197,3232
198,2760
199,2455
200,1189
201,932
202,982
203,1038
204,1371
205,1283
206,1982
207,2446
208,3482
209,4015
210,5313
211,6077
212,7107
213,6895
214,7685
215,8107
216,8528
217,8303
218,8386
219,8273
220,8377
221,8146
222,8671
223,8413
224,8693
225,8271
226,8474
227,8006
228,7583
229,6674
230,6558
231,5723
232,5966
233,5281
234,4853
235,3895
236,3609
237,3078
238,2651
239,1846
240,1473
241,898
242,772
243,643
244,583
245,364
246,425
247,585
248,579
249,902
250,1717
251,2289
252,4120
253,5520
254,7737
255,8250
256,8078
257,7473
258,7214
259,6579
260,6420
261,6443
262,6350
263,6684
264,6883
265,6641
266,7325
267,7381
268,8089
269,8590
270,7818
271,7748
272,7812
273,8539
274,9256
275,9951
276,9280
277,8766
278,8045
279,7348
280,7455
281,7148
282,5962
283,5195
284,4119
285,3602
286,2898
287,2278
288,1649
289,1189
290,868
291,733
292,606
293,463
294,445
295,574
296,633
297,878
